stateCode,stateName,medianIncome,povertyRatio,lessthanHighSchool,healthcareCoverage,obeseRatio,smokerRatio
AL,Alabama,42830,19.3,16.1,86.1,33.5,21.1
AK,Alaska,71583,11.2,14.5,85,29.7,19.9
AZ,Arizona,50068,18.2,17,85.6,28.9,16.5
AR,Arkansas,41262,18.9,14.2,83.7,35.9,24.7
CA,California,61933,16.4,13,85.2,24.7,12.9
CO,Colorado,61303,12,12.7,87.2,21.3,15.7
CT,Connecticut,70048,10.8,11.8,91.3,26.3,15.4
DE,Delaware,59716,12.5,15.3,91.4,30.7,19.9
DC,District of Columbia,71648,17.7,11.7,91.7,21.7,16.4
FL,Florida,47463,16.5,16.5,82.4,26.2,17.7
GA,Georgia,49321,18.3,16.9,79.1,30.5,17.4
HI,Hawaii,69592,11.4,8.5,91.9,22.1,14.1
ID,Idaho,47861,14.8,14.1,83.5,28.9,15.9
IL,Illinois,57444,14.4,12.8,88.1,29.3,16.5
IN,Indiana,49446,15.2,17,85.3,32.7,22.9
IA,Iowa,53712,12.2,10.7,92.3,30.9,18.5
KS,Kansas,52504,13.6,12.7,85.5,31.3,18.1
KY,Kentucky,42958,19.1,13.3,90,31.6,26.2
LA,Louisiana,44555,19.8,19.2,81.3,34.9,24
ME,Maine,49462,14.1,11.9,89,28.2,19.3
MD,Maryland,73971,10.1,12.2,90.8,29.6,14.6
MA,Massachusetts,69160,11.6,10.2,95.4,23.3,14.7
MI,Michigan,49847,16.2,13.1,89.7,30.7,21.2
MN,Minnesota,61481,11.5,12,92.7,27.6,16.3
MS,Mississippi,39680,21.5,17.9,81.2,35.5,23
MO,Missouri,48363,15.5,13.2,87.1,30.2,20.6
MT,Montana,46328,15.4,13.3,87.1,26.4,19.9
NE,Nebraska,52686,12.4,10.6,87.7,30.2,17.3
NV,Nevada,51450,15.2,18.2,82.9,27.7,17
NH,New Hampshire,66532,9.2,11.4,88.6,27.4,17.5
NJ,New Jersey,71919,11.1,12.1,87.6,26.9,15.1
NM,New Mexico,44803,21.3,18.3,84.6,28.4,19.2
NY,New York,58878,15.9,12.8,87.7,27,14.4
NC,North Carolina,46556,17.2,13.8,83.9,29.7,19.1
ND,North Dakota,59029,11.5,10.9,91.2,32.2,19.9
OH,Ohio,49308,15.8,13.7,89.8,32.6,21
OK,Oklahoma,47529,16.6,16.6,86.1,33,21.1
OR,Oregon,51075,16.6,13.6,89,27.9,17
PA,Pennsylvania,53234,13.6,12,89.9,30.2,19.9
RI,Rhode Island,54891,14.3,11.2,92,27,16.3
SC,South Carolina,45238,18,14.5,82.9,32.1,21.5
SD,South Dakota,50979,14.2,16,90.1,29.8,18.6
TN,Tennessee,44361,18.3,12.9,85.8,31.2,24.2
TX,Texas,53035,17.2,16.3,75.1,31.9,14.5
UT,Utah,60922,11.7,14.1,86.1,25.7,9.7
VT,Vermont,54166,12.2,8.6,93.3,24.8,16.4
VA,Virginia,64902,11.8,10.8,87,28.5,19.5
WA,Washington,61366,13.2,15.2,89.3,27.3,15.3
WV,West Virginia,41059,18.3,14.2,89.9,35.7,26.7
WI,Wisconsin,52622,13.2,11.1,91.5,31.2,17.4
WY,Wyoming,57055,11.2,12,84.9,29.5,19.5
